                                                                                                       
{'loss': 1.1094, 'grad_norm': 2.4031925201416016, 'learning_rate': 2.5226586102719037e-05, 'epoch': 0.25}
{'loss': 1.0912, 'grad_norm': 2.4066150188446045, 'learning_rate': 2.5377643504531723e-05, 'epoch': 0.25}
{'loss': 1.0789, 'grad_norm': 2.3253750801086426, 'learning_rate': 2.5528700906344412e-05, 'epoch': 0.26}
{'loss': 1.058, 'grad_norm': 2.2789790630340576, 'learning_rate': 2.5679758308157104e-05, 'epoch': 0.26}
{'loss': 1.0462, 'grad_norm': 2.2606096267700195, 'learning_rate': 2.583081570996979e-05, 'epoch': 0.26}
{'loss': 1.0406, 'grad_norm': 2.282482385635376, 'learning_rate': 2.598187311178248e-05, 'epoch': 0.26}
{'loss': 1.0247, 'grad_norm': 2.2769668102264404, 'learning_rate': 2.6132930513595165e-05, 'epoch': 0.26}
{'loss': 1.0144, 'grad_norm': 2.160494089126587, 'learning_rate': 2.6283987915407855e-05, 'epoch': 0.26}
{'loss': 0.9985, 'grad_norm': 2.0889763832092285, 'learning_rate': 2.6435045317220547e-05, 'epoch': 0.26}
{'loss': 0.9803, 'grad_norm': 2.036590814590454, 'learning_rate': 2.6586102719033233e-05, 'epoch': 0.27}
{'loss': 0.9737, 'grad_norm': 1.9632543325424194, 'learning_rate': 2.6737160120845922e-05, 'epoch': 0.27}
{'loss': 0.9619, 'grad_norm': 2.0232574939727783, 'learning_rate': 2.6888217522658608e-05, 'epoch': 0.27}
{'loss': 0.9506, 'grad_norm': 2.1544713973999023, 'learning_rate': 2.7039274924471304e-05, 'epoch': 0.27}
{'loss': 0.9406, 'grad_norm': 2.0485689640045166, 'learning_rate': 2.719033232628399e-05, 'epoch': 0.27}
{'loss': 0.9253, 'grad_norm': 1.867013931274414, 'learning_rate': 2.734138972809668e-05, 'epoch': 0.27}
{'loss': 0.9197, 'grad_norm': 1.9364185333251953, 'learning_rate': 2.7492447129909365e-05, 'epoch': 0.27}
{'loss': 0.91, 'grad_norm': 1.8163301944732666, 'learning_rate': 2.7643504531722054e-05, 'epoch': 0.28}
{'loss': 0.903, 'grad_norm': 1.8513010740280151, 'learning_rate': 2.7794561933534747e-05, 'epoch': 0.28}
{'loss': 0.8859, 'grad_norm': 1.891546368598938, 'learning_rate': 2.7945619335347433e-05, 'epoch': 0.28}
